Angulo (rad)	Voltagem (V)	sig volt (V)
0.0000	0	0.01
0.0522	0.02	0.01
0.1044	0	0.01
0.1564	0.03	0.01
0.2086	0.03	0.01
0.2608	0.08	0.01
0.3129	0.06	0.01
0.3651	0.11	0.01
0.4173	0.15	0.01
0.4693	0.16	0.01
0.5215	0.15	0.01
0.5737	0.18	0.01
0.6259	0.22	0.01
0.6781	0.24	0.01
0.7302	0.29	0.01
0.7823	0.32	0.01
0.8344	0.33	0.01
0.8866	0.38	0.01
0.9388	0.39	0.01
0.9910	0.43	0.01
1.0432	0.46	0.01
1.0952	0.49	0.01
1.1474	0.51	0.01
1.1996	0.52	0.01
1.2518	0.53	0.01
1.3039	0.57	0.01
1.3561	0.54	0.01
1.4081	0.59	0.01
1.4603	0.58	0.01
1.5125	0.63	0.01
1.5647	0.59	0.01
1.6169	0.6	0.01
1.6689	0.58	0.01
1.7211	0.58	0.01
1.7733	0.54	0.01
1.8254	0.52	0.01
1.8776	0.56	0.01
1.9298	0.5	0.01
1.9818	0.49	0.01
2.0340	0.42	0.01
2.0862	0.4	0.01
2.1384	0.42	0.01
2.1906	0.33	0.01
2.2427	0.31	0.01
2.2948	0.28	0.01
2.3469	0.26	0.01
2.3991	0.21	0.01
2.4513	0.2	0.01
2.5035	0.17	0.01
2.5557	0.14	0.01
2.6077	0.1	0.01
2.6599	0.08	0.01
2.7121	0.06	0.01
2.7643	0.06	0.01
2.8164	0.03	0.01
2.8686	0.01	0.01
2.9206	0	0.01
2.9728	0.01	0.01
3.0250	0	0.01
3.0772	0	0.01
3.1294	0	0.01
3.1816	0.01	0.01
