Angulo (rad)	Voltagem (V)	sig volt (V)
1.5708	2.84	0.1
1.6567	2.71	0.1
1.7425	2.75	0.1
1.8286	2.78	0.1
1.9145	3.01	0.1
2.0003	2.92	0.1
2.0862	2.76	0.1
2.1721	2.87	0.1
2.2581	2.64	0.1
2.3440	2.58	0.1
2.4298	2.27	0.1
2.5157	2.17	0.1
2.6016	1.89	0.1
2.6875	1.61	0.1
2.7735	1.34	0.1
2.8594	1.11	0.1
2.9452	0.92	0.1
3.0311	0.67	0.1
3.1170	0.47	0.1
3.2030	0.30	0.1
3.2889	0.19	0.1
3.3748	0.09	0.1
3.4606	0.04	0.1
3.5465	0.01	0.1
3.6324	0.05	0.1
3.7184	0.11	0.1
3.8043	0.20	0.1
3.8902	0.32	0.1
3.9760	0.51	0.1
4.0619	0.69	0.1
4.1479	0.94	0.1
4.2338	1.12	0.1
4.3197	1.36	0.1
4.4056	1.61	0.1
4.4914	1.89	0.1
4.5775	2.01	0.1
4.6633	2.30	0.1
4.7492	2.39	0.1
