Angle	Voltage	sV
0	1.39	0.1
0.0859	1.42	0.1
0.1717	1.7	0.1
0.2578	1.98	0.1
0.3437	2.23	0.1
0.4295	2.47	0.1
0.5154	2.71	0.1
0.6013	2.86	0.1
0.6873	3.01	0.1
0.7732	3.13	0.1
0.8591	3.21	0.1
0.9449	3.31	0.1
1.0308	3.24	0.1
1.1167	3.2	0.1
1.2027	3.12	0.1
1.2886	3.01	0.1
1.3744	2.85	0.1
1.4603	2.68	0.1
1.5462	2.45	0.1
1.6322	2.21	0.1
1.7181	1.95	0.1
1.804	1.68	0.1
1.8898	1.41	0.1
1.9757	1.11	0.1
2.0616	0.85	0.1
2.1476	0.63	0.1
2.2335	0.42	0.1
2.3194	0.26	0.1
2.4052	0.16	0.1
2.4911	0.1	0.1
2.5772	0.1	0.1
2.663	0.15	0.1
2.7489	0.24	0.1
2.8348	0.4	0.1
2.9206	0.58	0.1
3.0067	0.8	0.1
3.0925	1.07	0.1
