Angulo (rad)	Voltagem (V)	sig volt (V)
0,00	3,54	0,1
0,05	3,85	0,1
0,10	4,04	0,1
0,16	4,22	0,1
0,21	4,39	0,1
0,26	4,49	0,1
0,31	4,58	0,1
0,37	4,68	0,1
0,42	4,78	0,1
0,47	4,78	0,1
0,52	4,79	0,1
0,57	4,73	0,1
0,63	4,69	0,1
0,68	4,57	0,1
0,73	4,49	0,1
0,78	4,36	0,1
0,83	4,26	0,1
0,89	4,02	0,1
0,94	3,86	0,1
0,99	3,58	0,1
1,04	3,38	0,1
1,10	3,12	0,1
1,15	2,93	0,1
1,20	2,71	0,1
1,25	2,48	0,1
1,30	2,18	0,1
1,36	1,95	0,1
1,41	1,69	0,1
1,46	1,50	0,1
1,51	1,27	0,1
1,56	1,05	0,1
1,62	0,88	0,1
1,67	0,71	0,1
1,72	0,56	0,1
1,77	0,45	0,1
1,83	0,35	0,1
1,88	0,24	0,1
1,93	0,19	0,1
1,98	0,18	0,1
2,03	0,11	0,1
2,09	0,14	0,1
2,14	0,14	0,1
2,19	0,18	0,1
2,24	0,24	0,1
2,29	0,32	0,1
2,35	0,43	0,1
2,40	0,54	0,1
2,45	0,66	0,1
2,50	0,82	0,1
2,56	0,99	0,1
2,61	1,17	0,1
2,66	1,31	0,1
2,71	1,56	0,1
2,76	1,76	0,1
2,82	1,97	0,1
2,87	2,18	0,1
2,92	2,50	0,1
2,97	2,72	0,1
3,03	2,97	0,1
3,08	3,15	0,1
3,13	3,44	0,1
3,18	3,59	0,1
