Angulo (rad)	Voltagem (V)	sig volt (V)
0.0000	0.05	0.01
0.0522	0.05	0.01
0.1044	0.04	0.01
0.1564	0.07	0.01
0.2086	0.07	0.01
0.2608	0.14	0.01
0.3129	0.09	0.01
0.3651	0.12	0.01
0.4173	0.11	0.01
0.4693	0.17	0.01
0.5215	0.19	0.01
0.5737	0.16	0.01
0.6259	0.19	0.01
0.6781	0.2	0.01
0.7302	0.23	0.01
0.7823	0.29	0.01
0.8344	0.25	0.01
0.8866	0.23	0.01
0.9388	0.3	0.01
0.9910	0.25	0.01
1.0432	0.27	0.01
1.0952	0.28	0.01
1.1474	0.28	0.01
1.1996	0.28	0.01
1.2518	0.28	0.01
1.3039	0.26	0.01
1.3561	0.31	0.01
1.4081	0.28	0.01
1.4603	0.28	0.01
1.5125	0.24	0.01
1.5647	0.29	0.01
1.6169	0.24	0.01
1.6689	0.21	0.01
1.7211	0.15	0.01
1.7733	0.23	0.01
1.8254	0.2	0.01
1.8776	0.2	0.01
1.9298	0.16	0.01
1.9818	0.16	0.01
2.0340	0.08	0.01
2.0862	0.12	0.01
2.1384	0.12	0.01
2.1906	0.09	0.01
2.2427	0.04	0.01
2.2948	0	0.01
2.3469	0.05	0.01
2.3991	0.04	0.01
2.4513	0	0.01
2.5035	0.01	0.01
2.5557	0.01	0.01
2.6077	0	0.01
2.6599	0.03	0.01
2.7121	0.02	0.01
2.7643	0	0.01
2.8164	0.03	0.01
2.8686	0	0.01
2.9206	0.01	0.01
2.9728	0.02	0.01
3.0250	0.04	0.01
3.0772	0.02	0.01
3.1294	0.03	0.01
3.1816	0.03	0.01
