Angulo (rad)	Voltagem (V)	sig volt (V)
0.0000	0.53	0.1
0.0859	0.57	0.1
0.1717	0.57	0.1
0.2578	0.52	0.1
0.3437	0.47	0.1
0.4295	0.43	0.1
0.5154	0.42	0.1
0.6013	0.38	0.1
0.6873	0.33	0.1
0.7732	0.26	0.1
0.8591	0.25	0.1
0.9449	0.21	0.1
1.0308	0.15	0.1
1.1167	0.12	0.1
1.2027	0.11	0.1
1.2886	0.06	0.1
1.3744	0.06	0.1
1.4603	0.04	0.1
1.5462	0.03	0.1
1.6322	0.04	0.1
1.7181	0.05	0.1
1.8040	0.06	0.1
1.8898	0.08	0.1
1.9757	0.1	0.1
2.0616	0.15	0.1
2.1476	0.17	0.1
2.2335	0.22	0.1
2.3194	0.27	0.1
2.4052	0.31	0.1
2.4911	0.36	0.1
2.5772	0.38	0.1
2.6630	0.41	0.1
2.7489	0.47	0.1
2.8348	0.5	0.1
2.9206	0.52	0.1
3.0067	0.55	0.1
3.0925	0.56	0.1
3.1784	0.53	0.1
