ʋAngulo (rad)	Voltagem (V)	sig volt (V)
0,00	2,43	0,1
0,05	2,59	0,1
0,10	2,68	0,1
0,16	2,79	0,1
0,21	2,92	0,1
0,26	2,95	0,1
0,31	3,02	0,1
0,37	3,09	0,1
0,42	3,13	0,1
0,47	3,11	0,1
0,52	3,09	0,1
0,57	3,08	0,1
0,63	3,05	0,1
0,68	2,92	0,1
0,73	2,93	0,1
0,78	2,84	0,1
0,83	2,78	0,1
0,89	2,62	0,1
0,94	2,48	0,1
0,99	2,29	0,1
1,04	2,20	0,1
1,10	2,05	0,1
1,15	1,85	0,1
1,20	1,70	0,1
1,25	1,56	0,1
1,30	1,36	0,1
1,36	1,22	0,1
1,41	1,05	0,1
1,46	0,93	0,1
1,51	0,76	0,1
1,56	0,64	0,1
1,62	0,51	0,1
1,67	0,43	0,1
1,72	0,32	0,1
1,77	0,24	0,1
1,83	0,19	0,1
1,88	0,14	0,1
1,93	0,10	0,1
1,98	0,07	0,1
2,03	0,08	0,1
2,09	0,12	0,1
2,14	0,10	0,1
2,19	0,14	0,1
2,24	0,23	0,1
2,29	0,28	0,1
2,35	0,34	0,1
2,40	0,38	0,1
2,45	0,54	0,1
2,50	0,66	0,1
2,56	0,76	0,1
2,61	0,94	0,1
2,66	1,04	0,1
2,71	1,20	0,1
2,76	1,38	0,1
2,82	1,49	0,1
2,87	1,71	0,1
2,92	1,83	0,1
2,97	1,97	0,1
3,03	2,21	0,1
3,08	2,18	0,1
3,13	2,52	0,1
3,18	2,55	0,1
