Tensao [V];Corrente [A]
-5;-2,945335E-10
-4,95;-2,799723E-10
-4,9;-2,710254E-10
-4,85;-2,649339E-10
-4,8;-2,643848E-10
-4,75;-2,639379E-10
-4,7;-2,580378E-10
-4,65;-2,553092E-10
-4,6;-2,527717E-10
-4,55;-2,511726E-10
-4,5;-2,477861E-10
-4,45;-2,486639E-10
-4,4;-2,47189E-10
-4,35;-2,463572E-10
-4,3;-2,435373E-10
-4,25;-2,402065E-10
-4,2;-2,406335E-10
-4,15;-2,407013E-10
-4,1;-2,382493E-10
-4,05;-2,36039E-10
-4;-2,343853E-10
-3,95;-2,351975E-10
-3,9;-2,335533E-10
-3,85;-2,309519E-10
-3,8;-2,297709E-10
-3,75;-2,301154E-10
-3,7;-2,280855E-10
-3,65;-2,246212E-10
-3,6;-2,270411E-10
-3,55;-2,276249E-10
-3,5;-2,260181E-10
-3,45;-2,213299E-10
-3,4;-2,209005E-10
-3,35;-2,210646E-10
-3,3;-2,192135E-10
-3,25;-2,154655E-10
-3,2;-2,134626E-10
-3,15;-2,142783E-10
-3,1;-2,142004E-10
-3,05;-2,108314E-10
-3;-2,095678E-10
-2,95;-2,102489E-10
-2,9;-2,096605E-10
-2,85;-2,067542E-10
-2,8;-2,050831E-10
-2,75;-2,042983E-10
-2,7;-2,038317E-10
-2,65;-2,010932E-10
-2,6;-2,001258E-10
-2,55;-1,993989E-10
-2,5;-2,004503E-10
-2,45;-1,9699E-10
-2,4;-1,945612E-10
-2,35;-1,934493E-10
-2,3;-1,923732E-10
-2,25;-1,899015E-10
-2,2;-1,856141E-10
-2,15;-1,854143E-10
-2,1;-1,83768E-10
-2,05;-1,815453E-10
-2;-1,781046E-10
-1,95;-1,77948E-10
-1,9;-1,765611E-10
-1,85;-1,733325E-10
-1,8;-1,681581E-10
-1,75;-1,646408E-10
-1,7;-1,645582E-10
-1,65;-1,606437E-10
-1,6;-1,555383E-10
-1,55;-1,514817E-10
-1,5;-1,485558E-10
-1,45;-1,459061E-10
-1,4;-1,401862E-10
-1,35;-1,353437E-10
-1,3;-1,315389E-10
-1,25;-1,266865E-10
-1,2;-1,184478E-10
-1,15;-1,10589E-10
-1,1;-1,050542E-10
-1,05;-9,771998E-11
-1;-8,802373E-11
-0,95;-7,715396E-11
-0,9;-6,9837E-11
-0,85;-5,685688E-11
-0,8;-4,213917E-11
-0,75;-1,809172E-11
-0,7;5,347452E-12
-0,65;4,347692E-11
-0,6;1,176242E-10
-0,55;2,774481E-10
-0,5;6,502522E-10
-0,45;1,489277E-09
-0,4;3,985958E-09
-0,35;6,051838E-09
-0,3;1,024264E-08
-0,25;1,610169E-08
-0,2;2,687635E-08
-0,15;3,596011E-08
-0,1;4,614387E-08
-0,05;5,741428E-08
0;6,978156E-08
0,05;8,268076E-08
0,1;9,5838E-08
0,15;1,088726E-07
0,2;1,216215E-07
0,25;1,338211E-07
0,3;1,455695E-07
0,35;1,569456E-07
0,4;1,678493E-07
0,45;1,78339E-07
0,5;1,884884E-07
0,55;1,98431E-07
0,6;2,080152E-07
0,65;2,172221E-07
0,7;2,265793E-07
0,75;2,357067E-07
0,8;2,445477E-07
0,85;2,532351E-07
0,9;2,617822E-07
0,95;2,70606E-07
1;2,786712E-07
1,05;2,864348E-07
1,1;2,93956E-07
1,15;3,016252E-07
1,2;3,089023E-07
1,25;3,157224E-07
1,3;3,224807E-07
1,35;3,285475E-07
1,4;3,347655E-07
1,45;3,408498E-07
1,5;3,475171E-07
1,55;3,525985E-07
1,6;3,582503E-07
1,65;3,636562E-07
1,7;3,689444E-07
1,75;3,74197E-07
1,8;3,790963E-07
1,85;3,839338E-07
1,9;3,885501E-07
1,95;3,930344E-07
2;3,974058E-07
2,05;4,015778E-07
2,1;4,057406E-07
2,15;4,098268E-07
2,2;4,136563E-07
2,25;4,174462E-07
2,3;4,212232E-07
2,35;4,246741E-07
2,4;4,280805E-07
2,45;4,314904E-07
2,5;4,348088E-07
2,55;4,382184E-07
2,6;4,427341E-07
2,65;4,454785E-07
2,7;4,483326E-07
2,75;4,511835E-07
2,8;4,540389E-07
2,85;4,568738E-07
2,9;4,59465E-07
2,95;4,621501E-07
3;4,645717E-07
3,05;4,670105E-07
3,1;4,693929E-07
3,15;4,717427E-07
3,2;4,740284E-07
3,25;4,761664E-07
3,3;4,782609E-07
3,35;4,803484E-07
3,4;4,824003E-07
3,45;4,843947E-07
3,5;4,863546E-07
3,55;4,883732E-07
3,6;5,011987E-07
3,65;5,038089E-07
3,7;5,017715E-07
3,75;5,006974E-07
3,8;5,028546E-07
3,85;5,047772E-07
3,9;5,062385E-07
3,95;5,075856E-07
4;5,095995E-07
4,05;5,117556E-07
4,1;5,159627E-07
4,15;5,159438E-07
4,2;5,17591E-07
4,25;5,214098E-07
4,3;5,235443E-07
4,35;5,25328E-07
4,4;5,293265E-07
4,45;5,284166E-07
4,5;5,299714E-07
4,55;5,314337E-07
4,6;5,329189E-07
4,65;5,345408E-07
4,7;5,358621E-07
4,75;5,373831E-07
4,8;5,387361E-07
4,85;5,420085E-07
4,9;5,414453E-07
4,95;5,438494E-07
5;5,440107E-07
