Tensao [V];Corrente [A]
-5;-1,079167E-09
-4,95;-1,05991E-09
-4,9;-1,053078E-09
-4,85;-1,048317E-09
-4,8;-1,048008E-09
-4,75;-1,043361E-09
-4,7;-1,037858E-09
-4,65;-1,034965E-09
-4,6;-1,033789E-09
-4,55;-1,031142E-09
-4,5;-1,025815E-09
-4,45;-1,02536E-09
-4,4;-1,025177E-09
-4,35;-1,022162E-09
-4,3;-1,017415E-09
-4,25;-1,01405E-09
-4,2;-1,013102E-09
-4,15;-1,011083E-09
-4,1;-9,987755E-10
-4,05;-9,989063E-10
-4;-9,982759E-10
-3,95;-9,969576E-10
-3,9;-9,912171E-10
-3,85;-9,870016E-10
-3,8;-9,877088E-10
-3,75;-9,861638E-10
-3,7;-9,8279E-10
-3,65;-9,783022E-10
-3,6;-9,778757E-10
-3,55;-9,763292E-10
-3,5;-9,676689E-10
-3,45;-9,659402E-10
-3,4;-9,642286E-10
-3,35;-9,623848E-10
-3,3;-9,583243E-10
-3,25;-9,569276E-10
-3,2;-9,555543E-10
-3,15;-9,548499E-10
-3,1;-9,488479E-10
-3,05;-9,404775E-10
-3;-9,353334E-10
-2,95;-9,416598E-10
-2,9;-9,306729E-10
-2,85;-9,238483E-10
-2,8;-9,238129E-10
-2,75;-9,202955E-10
-2,7;-9,146972E-10
-2,65;-9,082367E-10
-2,6;-9,069527E-10
-2,55;-9,041646E-10
-2,5;-8,971756E-10
-2,45;-8,906596E-10
-2,4;-8,871214E-10
-2,35;-8,843163E-10
-2,3;-8,803847E-10
-2,25;-8,710851E-10
-2,2;-8,659254E-10
-2,15;-8,648182E-10
-2,1;-8,569506E-10
-2,05;-8,490155E-10
-2;-8,440285E-10
-1,95;-8,397028E-10
-1,9;-8,312588E-10
-1,85;-8,210839E-10
-1,8;-8,129154E-10
-1,75;-8,068134E-10
-1,7;-7,946861E-10
-1,65;-7,783664E-10
-1,6;-7,570059E-10
-1,55;-7,322359E-10
-1,5;-6,979451E-10
-1,45;-6,504611E-10
-1,4;-5,877622E-10
-1,35;-5,088071E-10
-1,3;-4,038616E-10
-1,25;-2,676622E-10
-1,2;-9,37088E-11
-1,15;1,26641E-10
-1,1;4,14925E-10
-1,05;8,012858E-10
-1;1,321194E-09
-0,95;2,031947E-09
-0,9;3,319676E-09
-0,85;4,446941E-09
-0,8;6,363564E-09
-0,75;9,049621E-09
-0,7;1,271749E-08
-0,65;1,766327E-08
-0,6;2,747814E-08
-0,55;3,749901E-08
-0,5;5,072557E-08
-0,45;6,743419E-08
-0,4;8,777901E-08
-0,35;1,116664E-07
-0,3;1,388842E-07
-0,25;1,67656E-07
-0,2;1,970721E-07
-0,15;2,269558E-07
-0,1;2,572526E-07
-0,05;2,880601E-07
0;3,197098E-07
0,05;3,5156E-07
0,1;3,838763E-07
0,15;4,166004E-07
0,2;4,496328E-07
0,25;4,829348E-07
0,3;5,165329E-07
0,35;5,505128E-07
0,4;5,844493E-07
0,45;6,184325E-07
0,5;6,52478E-07
0,55;6,864743E-07
0,6;7,20418E-07
0,65;7,542363E-07
0,7;7,881424E-07
0,75;8,216971E-07
0,8;8,549469E-07
0,85;8,87965E-07
0,9;9,204579E-07
0,95;9,524029E-07
1;9,837378E-07
1,05;1,014555E-06
1,1;1,044502E-06
1,15;1,07377E-06
1,2;1,102239E-06
1,25;1,129944E-06
1,3;1,156799E-06
1,35;1,182771E-06
1,4;1,207858E-06
1,45;1,232165E-06
1,5;1,255663E-06
1,55;1,278391E-06
1,6;1,30035E-06
1,65;1,321666E-06
1,7;1,342338E-06
1,75;1,362497E-06
1,8;1,382032E-06
1,85;1,40106E-06
1,9;1,419522E-06
1,95;1,437495E-06
2;1,455064E-06
2,05;1,472276E-06
2,1;1,489175E-06
2,15;1,505627E-06
2,2;1,521816E-06
2,25;1,537646E-06
2,3;1,553128E-06
2,35;1,56835E-06
2,4;1,583369E-06
2,45;1,598004E-06
2,5;1,612299E-06
2,55;1,626419E-06
2,6;1,640069E-06
2,65;1,653495E-06
2,7;1,666315E-06
2,75;1,678967E-06
2,8;1,691569E-06
2,85;1,703774E-06
2,9;1,715665E-06
2,95;1,727011E-06
3;1,738226E-06
3,05;1,749215E-06
3,1;1,759987E-06
3,15;1,77045E-06
3,2;1,780454E-06
3,25;1,790399E-06
3,3;1,800167E-06
3,35;1,809722E-06
3,4;1,819123E-06
3,45;1,828288E-06
3,5;1,837344E-06
3,55;1,846224E-06
3,6;1,854961E-06
3,65;1,863613E-06
3,7;1,872093E-06
3,75;1,880368E-06
3,8;1,888539E-06
3,85;1,896642E-06
3,9;1,904573E-06
3,95;1,912298E-06
4;1,91991E-06
4,05;1,927525E-06
4,1;1,934958E-06
4,15;1,942257E-06
4,2;1,949556E-06
4,25;1,956676E-06
4,3;1,963691E-06
4,35;1,970553E-06
4,4;1,977226E-06
4,45;1,983893E-06
4,5;1,990448E-06
4,55;1,996978E-06
4,6;2,003624E-06
4,65;2,009809E-06
4,7;2,016015E-06
4,75;2,022118E-06
4,8;2,028012E-06
4,85;2,033581E-06
4,9;2,039268E-06
4,95;2,044987E-06
5;2,050546E-06
