Tensao [V];Corrente [A]
-5;-4,775526E-11
-4,95;-3,956732E-11
-4,9;-3,659406E-11
-4,85;-3,601888E-11
-4,8;-3,59004E-11
-4,75;-3,546717E-11
-4,7;-3,517096E-11
-4,65;-3,489571E-11
-4,6;-3,615095E-11
-4,55;-3,475748E-11
-4,5;-3,344794E-11
-4,45;-3,160646E-11
-4,4;-3,230382E-11
-4,35;-3,172372E-11
-4,3;-2,978719E-11
-4,25;-2,980447E-11
-4,2;-3,024508E-11
-4,15;-3,002048E-11
-4,1;-2,76544E-11
-4,05;-2,737303E-11
-4;-2,811972E-11
-3,95;-2,801728E-11
-3,9;-2,598819E-11
-3,85;-2,451574E-11
-3,8;-2,463175E-11
-3,75;-2,510448E-11
-3,7;-2,361598E-11
-3,65;-2,30112E-11
-3,6;-2,308897E-11
-3,55;-2,329631E-11
-3,5;-2,222128E-11
-3,45;-2,041189E-11
-3,4;-2,085869E-11
-3,35;-2,189174E-11
-3,3;-2,084017E-11
-3,25;-1,873702E-11
-3,2;-1,823716E-11
-3,15;-1,915913E-11
-3,1;-1,791132E-11
-3,05;-1,626115E-11
-3;-1,664375E-11
-2,95;-1,732381E-11
-2,9;-1,600194E-11
-2,85;-1,413701E-11
-2,8;-1,39494E-11
-2,75;-1,448259E-11
-2,7;-1,42703E-11
-2,65;-1,151424E-11
-2,6;-1,1376E-11
-2,55;-1,230663E-11
-2,5;-1,210051E-11
-2,45;-9,901088E-12
-2,4;-9,177821E-12
-2,35;-1,022569E-11
-2,3;-9,930706E-12
-2,25;-8,092929E-12
-2,2;-6,799439E-12
-2,15;-8,008999E-12
-2,1;-7,885571E-12
-2,05;-6,598259E-12
-2;-4,998682E-12
-1,95;-5,720714E-12
-1,9;-5,90338E-12
-1,85;-4,395137E-12
-1,8;-3,270742E-12
-1,75;-3,397872E-12
-1,7;-4,20136E-12
-1,65;-2,746192E-12
-1,6;-8,800184E-13
-1,55;-1,083668E-12
-1,5;-1,830385E-12
-1,45;-1,163894E-12
-1,4;-3,678083E-13
-1,35;2,554903E-13
-1,3;3,863238E-13
-1,25;1,236741E-12
-1,2;3,613957E-12
-1,15;3,458435E-12
-1,1;1,6638E-12
-1,05;2,916591E-12
-1;5,129645E-12
-0,95;5,24073E-12
-0,9;4,550772E-12
-0,85;5,274059E-12
-0,8;6,108425E-12
-0,75;6,857633E-12
-0,7;4,939572E-12
-0,65;6,624359E-12
-0,6;8,676956E-12
-0,55;9,505152E-12
-0,5;7,042777E-12
-0,45;6,456492E-12
-0,4;8,310381E-12
-0,35;1,016919E-11
-0,3;8,000579E-12
-0,25;1,289201E-11
-0,2;1,504335E-11
-0,15;1,559138E-11
-0,1;1,496189E-11
-0,05;1,5621E-11
0;1,196507E-11
0,05;1,358443E-11
0,1;1,43608E-11
0,15;1,50631E-11
0,2;1,383253E-11
0,25;1,519024E-11
0,3;1,608386E-11
0,35;1,623935E-11
0,4;1,536673E-11
0,45;1,526305E-11
0,5;1,709101E-11
0,55;1,838825E-11
0,6;1,85055E-11
0,65;1,832404E-11
0,7;2,004464E-11
0,75;2,063462E-11
0,8;2,026681E-11
0,85;2,010264E-11
0,9;2,183188E-11
0,95;2,218239E-11
1;2,199603E-11
1,05;2,169117E-11
1,1;2,333399E-11
1,15;2,457689E-11
1,2;2,413255E-11
1,25;2,365737E-11
1,3;2,53335E-11
1,35;2,645545E-11
1,4;2,556431E-11
1,45;2,543225E-11
1,5;2,51928E-11
1,55;2,663319E-11
1,6;2,634808E-11
1,65;2,56816E-11
1,7;2,730959E-11
1,75;2,867594E-11
1,8;2,883267E-11
1,85;2,860062E-11
1,9;2,968803E-11
1,95;3,159007E-11
2;3,171471E-11
2,05;3,113951E-11
2,1;3,146167E-11
2,15;3,182458E-11
2,2;3,293417E-11
2,25;3,269349E-11
2,3;3,319459E-11
2,35;3,330321E-11
2,4;3,408697E-11
2,45;3,369573E-11
2,5;3,484853E-11
2,55;3,559402E-11
2,6;3,695667E-11
2,65;3,721464E-11
2,7;3,691472E-11
2,75;3,824526E-11
2,8;3,892658E-11
2,85;3,84736E-11
2,9;3,996709E-11
2,95;3,979182E-11
3;4,096558E-11
3,05;4,037934E-11
3,1;4,047065E-11
3,15;4,186167E-11
3,2;4,302191E-11
3,25;4,283058E-11
3,3;4,295157E-11
3,35;4,380693E-11
3,4;4,451663E-11
3,45;4,459314E-11
3,5;4,544723E-11
3,55;4,572866E-11
3,6;4,589529E-11
3,65;4,577557E-11
3,7;4,676546E-11
3,75;4,780845E-11
3,8;4,872672E-11
3,85;4,909701E-11
3,9;4,942904E-11
3,95;4,960801E-11
4;5,038435E-11
4,05;5,060651E-11
4,1;5,080893E-11
4,15;5,091138E-11
4,2;5,233698E-11
4,25;5,281585E-11
4,3;5,233201E-11
4,35;5,232834E-11
4,4;5,424021E-11
4,45;5,467588E-11
4,5;5,466603E-11
4,55;5,48487E-11
4,6;5,568309E-11
4,65;5,671124E-11
4,7;5,60929E-11
4,75;5,618545E-11
4,8;5,773201E-11
4,85;5,821216E-11
4,9;5,886752E-11
4,95;5,905509E-11
5;5,989935E-11
