Tensao [V];Corrente [A]
-5;-4,775725E-11
-4,95;-4,037552E-11
-4,9;-3,978924E-11
-4,85;-3,724187E-11
-4,8;-3,686792E-11
-4,75;-3,545972E-11
-4,7;-3,387624E-11
-4,65;-3,487963E-11
-4,6;-3,414405E-11
-4,55;-3,325791E-11
-4,5;-3,334925E-11
-4,45;-3,288148E-11
-4,4;-3,189289E-11
-4,35;-3,144857E-11
-4,3;-2,996137E-11
-4,25;-3,006628E-11
-4,2;-2,853339E-11
-4,15;-2,906781E-11
-4,1;-2,875433E-11
-4,05;-2,817423E-11
-4;-2,683883E-11
-3,95;-2,767563E-11
-3,9;-2,622915E-11
-3,85;-2,591443E-11
-3,8;-2,545902E-11
-3,75;-2,439266E-11
-3,7;-2,479131E-11
-3,65;-2,233156E-11
-3,6;-2,278944E-11
-3,55;-2,246979E-11
-3,5;-2,144295E-11
-3,45;-2,124916E-11
-3,4;-2,049385E-11
-3,35;-2,013469E-11
-3,3;-2,006311E-11
-3,25;-1,994339E-11
-3,2;-1,860182E-11
-3,15;-1,880545E-11
-3,1;-1,790326E-11
-3,05;-1,705043E-11
-3;-1,679865E-11
-2,95;-1,550028E-11
-2,9;-1,533983E-11
-2,85;-1,455118E-11
-2,8;-1,423029E-11
-2,75;-1,400195E-11
-2,7;-1,381436E-11
-2,65;-1,327626E-11
-2,6;-1,296525E-11
-2,55;-1,265546E-11
-2,5;-1,198405E-11
-2,45;-1,25777E-11
-2,4;-1,103125E-11
-2,35;-1,079306E-11
-2,3;-8,58384E-12
-2,25;-9,418165E-12
-2,2;-8,571497E-12
-2,15;-8,259249E-12
-2,1;-7,248443E-12
-2,05;-7,654487E-12
-2;-8,066708E-12
-1,95;-5,938957E-12
-1,9;-5,569932E-12
-1,85;-5,505751E-12
-1,8;-4,364123E-12
-1,75;-2,809034E-12
-1,7;-2,939859E-12
-1,65;-4,154308E-12
-1,6;-3,519931E-12
-1,55;-4,504851E-13
-1,5;-1,326764E-12
-1,45;-1,494616E-12
-1,4;-7,726104E-13
-1,35;3,443464E-13
-1,3;1,084886E-12
-1,25;8,256972E-13
-1,2;1,369993E-12
-1,15;1,695831E-12
-1,1;2,830089E-12
-1,05;3,365746E-12
-1;3,252195E-12
-0,95;4,005078E-12
-0,9;5,541696E-12
-0,85;4,822141E-12
-0,8;5,070223E-12
-0,75;6,685829E-12
-0,7;6,388379E-12
-0,65;7,126447E-12
-0,6;6,898117E-12
-0,55;8,479168E-12
-0,5;8,864246E-12
-0,45;8,642087E-12
-0,4;9,346831E-12
-0,35;9,930627E-12
-0,3;1,07736E-11
-0,25;1,057119E-11
-0,2;1,090196E-11
-0,15;1,146848E-11
-0,1;1,197082E-11
-0,05;1,237194E-11
0;1,132901E-11
0,05;1,212015E-11
0,1;1,294093E-11
0,15;1,288661E-11
0,2;1,326799E-11
0,25;1,308655E-11
0,3;1,411591E-11
0,35;1,46491E-11
0,4;1,513786E-11
0,45;1,497739E-11
0,5;1,569325E-11
0,55;1,674729E-11
0,6;1,770752E-11
0,65;1,737674E-11
0,7;1,774578E-11
0,75;1,868625E-11
0,8;1,972056E-11
0,85;1,984273E-11
0,9;2,080173E-11
0,95;2,05228E-11
1;2,173235E-11
1,05;2,143861E-11
1,1;2,225567E-11
1,15;2,204832E-11
1,2;2,338993E-11
1,25;2,309371E-11
1,3;2,339856E-11
1,35;2,412307E-11
1,4;2,535606E-11
1,45;2,583369E-11
1,5;2,514253E-11
1,55;2,620643E-11
1,6;2,647179E-11
1,65;2,746658E-11
1,7;2,778995E-11
1,75;2,812813E-11
1,8;2,939076E-11
1,85;2,913404E-11
1,9;3,002267E-11
1,95;3,004863E-11
2;3,126432E-11
2,05;3,194439E-11
2,1;3,120136E-11
2,15;3,22949E-11
2,2;3,256274E-11
2,25;3,32465E-11
2,3;3,376117E-11
2,35;3,374388E-11
2,4;3,334523E-11
2,45;3,427582E-11
2,5;3,561623E-11
2,55;3,550635E-11
2,6;3,616051E-11
2,65;3,707509E-11
2,7;3,598897E-11
2,75;3,581739E-11
2,8;3,68418E-11
2,85;3,738979E-11
2,9;3,952011E-11
2,95;4,046055E-11
3;4,15467E-11
3,05;4,157384E-11
3,1;4,215394E-11
3,15;4,189351E-11
3,2;4,233781E-11
3,25;4,246373E-11
3,3;4,276118E-11
3,35;4,354618E-11
3,4;4,397317E-11
3,45;4,390901E-11
3,5;4,444217E-11
3,55;4,477543E-11
3,6;4,581219E-11
3,65;4,633181E-11
3,7;4,687239E-11
3,75;4,761294E-11
3,8;4,772402E-11
3,85;4,830412E-11
3,9;4,869289E-11
3,95;4,984073E-11
4;5,048255E-11
4,05;4,966918E-11
4,1;5,091449E-11
4,15;5,16205E-11
4,2;5,094909E-11
4,25;5,149091E-11
4,3;5,212654E-11
4,35;5,235979E-11
4,4;5,228821E-11
4,45;5,262389E-11
4,5;5,307194E-11
4,55;5,449004E-11
4,6;5,446044E-11
4,65;5,537498E-11
4,7;5,455301E-11
4,75;5,597853E-11
4,8;5,634883E-11
4,85;5,704617E-11
4,9;5,79422E-11
4,95;5,826068E-11
5;5,930361E-11
