Tensao [V];Corrente [A]
-5;-3,073451E-10
-4,95;-2,922863E-10
-4,9;-2,861909E-10
-4,85;-2,803449E-10
-4,8;-2,786058E-10
-4,75;-2,777383E-10
-4,7;-2,767979E-10
-4,65;-2,729191E-10
-4,6;-2,703348E-10
-4,55;-2,692375E-10
-4,5;-2,674677E-10
-4,45;-2,654561E-10
-4,4;-2,633174E-10
-4,35;-2,619882E-10
-4,3;-2,606925E-10
-4,25;-2,583639E-10
-4,2;-2,559857E-10
-4,15;-2,554847E-10
-4,1;-2,563162E-10
-4,05;-2,520462E-10
-4;-2,495545E-10
-3,95;-2,487646E-10
-3,9;-2,473479E-10
-3,85;-2,442119E-10
-3,8;-2,407909E-10
-3,75;-2,411339E-10
-3,7;-2,392272E-10
-3,65;-2,369208E-10
-3,6;-2,329334E-10
-3,55;-2,333614E-10
-3,5;-2,33454E-10
-3,45;-2,302552E-10
-3,4;-2,277449E-10
-3,35;-2,259012E-10
-3,3;-2,245991E-10
-3,25;-2,204081E-10
-3,2;-2,152001E-10
-3,15;-2,116482E-10
-3,1;-2,140265E-10
-3,05;-2,172696E-10
-3;-2,118408E-10
-2,95;-2,08869E-10
-2,9;-2,039116E-10
-2,85;-1,898276E-10
-2,8;-1,938669E-10
-2,75;-1,740085E-10
-2,7;-1,948466E-10
-2,65;-1,890786E-10
-2,6;-1,891969E-10
-2,55;-1,910999E-10
-2,5;-1,895314E-10
-2,45;-1,85682E-10
-2,4;-1,820884E-10
-2,35;-1,777726E-10
-2,3;-1,748403E-10
-2,25;-1,677515E-10
-2,2;-1,691387E-10
-2,15;-1,717118E-10
-2,1;-1,678033E-10
-2,05;-1,623534E-10
-2;-1,586152E-10
-1,95;-1,556459E-10
-1,9;-1,506292E-10
-1,85;-1,458494E-10
-1,8;-1,406969E-10
-1,75;-1,37034E-10
-1,7;-1,342745E-10
-1,65;-1,292899E-10
-1,6;-1,251049E-10
-1,55;-1,196241E-10
-1,5;-1,086009E-10
-1,45;-1,009432E-10
-1,4;-9,095286E-11
-1,35;-7,634937E-11
-1,3;-6,155957E-11
-1,25;-3,323511E-11
-1,2;9,588223E-12
-1,15;6,802218E-11
-1,1;1,478258E-10
-1,05;2,544094E-10
-1;4,047603E-10
-0,95;6,112866E-10
-0,9;8,967064E-10
-0,85;1,31305E-09
-0,8;1,937482E-09
-0,75;3,379811E-09
-0,7;4,411783E-09
-0,65;6,676831E-09
-0,6;1,030141E-08
-0,55;1,596331E-08
-0,5;2,944352E-08
-0,45;4,438894E-08
-0,4;6,40634E-08
-0,35;8,895717E-08
-0,3;1,19481E-07
-0,25;1,531738E-07
-0,2;1,876858E-07
-0,15;2,227885E-07
-0,1;2,583872E-07
-0,05;2,944505E-07
0;3,313665E-07
0,05;3,682854E-07
0,1;4,055726E-07
0,15;4,432504E-07
0,2;4,811948E-07
0,25;5,193889E-07
0,3;5,577857E-07
0,35;5,965636E-07
0,4;6,352983E-07
0,45;6,740363E-07
0,5;7,127726E-07
0,55;7,51483E-07
0,6;7,901986E-07
0,65;8,289019E-07
0,7;8,677193E-07
0,75;9,062807E-07
0,8;9,446118E-07
0,85;9,826797E-07
0,9;1,020299E-06
0,95;1,057271E-06
1;1,093543E-06
1,05;1,129332E-06
1,1;1,163915E-06
1,15;1,197583E-06
1,2;1,230295E-06
1,25;1,262119E-06
1,3;1,292812E-06
1,35;1,322499E-06
1,4;1,351271E-06
1,45;1,37907E-06
1,5;1,406049E-06
1,55;1,432095E-06
1,6;1,457437E-06
1,65;1,48204E-06
1,7;1,50599E-06
1,75;1,529497E-06
1,8;1,552912E-06
1,85;1,57518E-06
1,9;1,596831E-06
1,95;1,618147E-06
2;1,63896E-06
2,05;1,659287E-06
2,1;1,679262E-06
2,15;1,698886E-06
2,2;1,718067E-06
2,25;1,73681E-06
2,3;1,755068E-06
2,35;1,773104E-06
2,4;1,790557E-06
2,45;1,807624E-06
2,5;1,824248E-06
2,55;1,840611E-06
2,6;1,856537E-06
2,65;1,871923E-06
2,7;1,887101E-06
2,75;1,901866E-06
2,8;1,916216E-06
2,85;1,930021E-06
2,9;1,943476E-06
2,95;1,956554E-06
3;1,969261E-06
3,05;1,981479E-06
3,1;1,993249E-06
3,15;2,00486E-06
3,2;2,016056E-06
3,25;2,026879E-06
3,3;2,03735E-06
3,35;2,047695E-06
3,4;2,057657E-06
3,45;2,067355E-06
3,5;2,076931E-06
3,55;2,086228E-06
3,6;2,095255E-06
3,65;2,102345E-06
3,7;2,111345E-06
3,75;2,120211E-06
3,8;2,128198E-06
3,85;2,136427E-06
3,9;2,144228E-06
3,95;2,151879E-06
4;2,159303E-06
4,05;2,166644E-06
4,1;2,174057E-06
4,15;2,180995E-06
4,2;2,188022E-06
4,25;2,19476E-06
4,3;2,201411E-06
4,35;2,207974E-06
4,4;2,214477E-06
4,45;2,220713E-06
4,5;2,226727E-06
4,55;2,232728E-06
4,6;2,238667E-06
4,65;2,244343E-06
4,7;2,250019E-06
4,75;2,25552E-06
4,8;2,261058E-06
4,85;2,266672E-06
4,9;2,271771E-06
4,95;2,276997E-06
5;2,2821E-06
