Tensao [V];Corrente [A]
-5;-2,139417E-11
-4,95;-3,722877E-11
-4,9;-5,145535E-11
-4,85;-5,059393E-11
-4,8;-4,876872E-11
-4,75;-5,170341E-11
-4,7;-5,31929E-11
-4,65;-4,949932E-11
-4,6;-4,488874E-11
-4,55;-5,132945E-11
-4,5;-5,131589E-11
-4,45;-3,93267E-11
-4,4;-2,604422E-11
-4,35;-3,225045E-11
-4,3;-4,028808E-11
-4,25;-4,884522E-11
-4,2;-4,318943E-11
-4,15;-3,090158E-11
-4,1;-3,032896E-11
-4,05;-2,85778E-11
-4;-2,573322E-11
-3,95;-2,27097E-11
-3,9;-2,532228E-11
-3,85;-2,34082E-11
-3,8;-2,052043E-11
-3,75;-1,942085E-11
-3,7;-1,943443E-11
-3,65;-1,759934E-11
-3,6;-1,402295E-11
-3,55;-1,189909E-11
-3,5;-1,100438E-11
-3,45;-1,031081E-11
-3,4;-5,565743E-12
-3,35;-6,901026E-12
-3,3;-4,967211E-12
-3,25;-4,041643E-12
-3,2;2,653343E-13
-3,15;2,112819E-12
-3,1;2,4991E-12
-3,05;4,170104E-12
-3;6,152104E-12
-2,95;9,054769E-12
-2,9;8,04896E-12
-2,85;9,426244E-12
-2,8;1,25387E-11
-2,75;1,620652E-11
-2,7;1,660267E-11
-2,65;1,640892E-11
-2,6;1,841684E-11
-2,55;2,31102E-11
-2,5;2,399878E-11
-2,45;2,39926E-11
-2,4;2,738398E-11
-2,35;2,94499E-11
-2,3;2,999047E-11
-2,25;3,124926E-11
-2,2;3,357929E-11
-2,15;3,702373E-11
-2,1;4,017324E-11
-2,05;4,014234E-11
-2;4,282782E-11
-1,95;4,669555E-11
-1,9;4,956245E-11
-1,85;5,231946E-11
-1,8;5,299208E-11
-1,75;5,315251E-11
-1,7;5,564672E-11
-1,65;5,884922E-11
-1,6;6,084108E-11
-1,55;6,608736E-11
-1,5;6,85778E-11
-1,45;6,959473E-11
-1,4;7,091646E-11
-1,35;7,617133E-11
-1,3;7,833111E-11
-1,25;8,232102E-11
-1,2;8,535821E-11
-1,15;9,085622E-11
-1,1;9,406131E-11
-1,05;9,636908E-11
-1;9,835476E-11
-0,95;1,03722E-10
-0,9;1,069654E-10
-0,85;1,109651E-10
-0,8;1,147526E-10
-0,75;1,198137E-10
-0,7;1,267928E-10
-0,65;1,322426E-10
-0,6;1,32139E-10
-0,55;1,370458E-10
-0,5;1,465029E-10
-0,45;1,588565E-10
-0,4;1,713989E-10
-0,35;2,038663E-10
-0,3;2,584009E-10
-0,25;3,475602E-10
-0,2;5,005116E-10
-0,15;7,50666E-10
-0,1;1,13247E-09
-0,05;1,52077E-09
0;2,005704E-09
0,05;2,362139E-09
0,1;2,733423E-09
0,15;3,103892E-09
0,2;3,484456E-09
0,25;3,87387E-09
0,3;4,233126E-09
0,35;4,561914E-09
0,4;4,899508E-09
0,45;5,242403E-09
0,5;5,568783E-09
0,55;5,87145E-09
0,6;6,179782E-09
0,65;6,504487E-09
0,7;6,820799E-09
0,75;7,115129E-09
0,8;7,407904E-09
0,85;7,721368E-09
0,9;8,03032E-09
0,95;8,310946E-09
1;8,585524E-09
1,05;8,882778E-09
1,1;9,178131E-09
1,15;9,456381E-09
1,2;9,72214E-09
1,25;9,998052E-09
1,3;1,027318E-08
1,35;1,053777E-08
1,4;1,079842E-08
1,45;1,106297E-08
1,5;1,131991E-08
1,55;1,156787E-08
1,6;1,181044E-08
1,65;1,205005E-08
1,7;1,228213E-08
1,75;1,251745E-08
1,8;1,273848E-08
1,85;1,29677E-08
1,9;1,318705E-08
1,95;1,340641E-08
2;1,361381E-08
2,05;1,382834E-08
2,1;1,403875E-08
2,15;1,42491E-08
2,2;1,445167E-08
2,25;1,465132E-08
2,3;1,485302E-08
2,35;1,505044E-08
2,4;1,524276E-08
2,45;1,543382E-08
2,5;1,562723E-08
2,55;1,581713E-08
2,6;1,600323E-08
2,65;1,618684E-08
2,7;1,638296E-08
2,75;1,655744E-08
2,8;1,673805E-08
2,85;1,691453E-08
2,9;1,709601E-08
2,95;1,727094E-08
3;1,743938E-08
3,05;1,760473E-08
3,1;1,778106E-08
3,15;1,794231E-08
3,2;1,810404E-08
3,25;1,826175E-08
3,3;1,842681E-08
3,35;1,857806E-08
3,4;1,873309E-08
3,45;1,888421E-08
3,5;1,903978E-08
3,55;1,919369E-08
3,6;1,933985E-08
3,65;1,948957E-08
3,7;1,963411E-08
3,75;1,977967E-08
3,8;1,992175E-08
3,85;2,007162E-08
3,9;2,021913E-08
3,95;2,041151E-08
4;2,055731E-08
4,05;2,067339E-08
4,1;2,084913E-08
4,15;2,098577E-08
4,2;2,110647E-08
4,25;2,121364E-08
4,3;2,138263E-08
4,35;2,153014E-08
4,4;2,164311E-08
4,45;2,176745E-08
4,5;2,198267E-08
4,55;2,206892E-08
4,6;2,216168E-08
4,65;2,226898E-08
4,7;2,243934E-08
4,75;2,256119E-08
4,8;2,266345E-08
4,85;2,277702E-08
4,9;2,291791E-08
4,95;2,305556E-08
5;2,3166E-08
