Tensao [V];Corrente [A]
-5;-1,42091E-09
-4,95;-1,403231E-09
-4,9;-1,396082E-09
-4,85;-1,38831E-09
-4,8;-1,385768E-09
-4,75;-1,381938E-09
-4,7;-1,376905E-09
-4,65;-1,369099E-09
-4,6;-1,367196E-09
-4,55;-1,367785E-09
-4,5;-1,363615E-09
-4,45;-1,358804E-09
-4,4;-1,354871E-09
-4,35;-1,353526E-09
-4,3;-1,347741E-09
-4,25;-1,341171E-09
-4,2;-1,336271E-09
-4,15;-1,337869E-09
-4,1;-1,329413E-09
-4,05;-1,326357E-09
-4;-1,3224E-09
-3,95;-1,321399E-09
-3,9;-1,313225E-09
-3,85;-1,307331E-09
-3,8;-1,30399E-09
-3,75;-1,301512E-09
-3,7;-1,297224E-09
-3,65;-1,290409E-09
-3,6;-1,283883E-09
-3,55;-1,284144E-09
-3,5;-1,277984E-09
-3,45;-1,268807E-09
-3,4;-1,265351E-09
-3,35;-1,263521E-09
-3,3;-1,255928E-09
-3,25;-1,244502E-09
-3,2;-1,232473E-09
-3,15;-1,223595E-09
-3,1;-1,221002E-09
-3,05;-1,219646E-09
-3;-1,215418E-09
-2,95;-1,214568E-09
-2,9;-1,208653E-09
-2,85;-1,199742E-09
-2,8;-1,193914E-09
-2,75;-1,185711E-09
-2,7;-1,180251E-09
-2,65;-1,168138E-09
-2,6;-1,15843E-09
-2,55;-1,154101E-09
-2,5;-1,14553E-09
-2,45;-1,130197E-09
-2,4;-1,118822E-09
-2,35;-1,106446E-09
-2,3;-1,089952E-09
-2,25;-1,066649E-09
-2,2;-1,0413E-09
-2,15;-1,013866E-09
-2,1;-9,780349E-10
-2,05;-9,24164E-10
-2;-8,607013E-10
-1,95;-7,876143E-10
-1,9;-6,95649E-10
-1,85;-5,800214E-10
-1,8;-4,433326E-10
-1,75;-2,87931E-10
-1,7;-1,036298E-10
-1,65;1,170058E-10
-1,6;3,702934E-10
-1,55;6,663436E-10
-1,5;1,022132E-09
-1,45;1,466374E-09
-1,4;2,029739E-09
-1,35;3,132382E-09
-1,3;3,767204E-09
-1,25;5,032168E-09
-1,2;6,767578E-09
-1,15;9,069266E-09
-1,1;1,207138E-08
-1,05;1,592491E-08
-1;2,322108E-08
-0,95;2,984505E-08
-0,9;3,779471E-08
-0,85;4,720015E-08
-0,8;5,824938E-08
-0,75;7,095219E-08
-0,7;8,571901E-08
-0,65;1,02959E-07
-0,6;1,231623E-07
-0,55;1,473328E-07
-0,5;1,761173E-07
-0,45;2,09685E-07
-0,4;2,476197E-07
-0,35;2,884526E-07
-0,3;3,316551E-07
-0,25;3,764373E-07
-0,2;4,226172E-07
-0,15;4,699557E-07
-0,1;5,18476E-07
-0,05;5,681601E-07
0;6,192379E-07
0,05;6,708316E-07
0,1;7,232707E-07
0,15;7,764902E-07
0,2;8,305583E-07
0,25;8,853204E-07
0,3;9,405895E-07
0,35;9,966546E-07
0,4;1,053061E-06
0,45;1,109865E-06
0,5;1,166923E-06
0,55;1,224278E-06
0,6;1,281883E-06
0,65;1,339603E-06
0,7;1,397408E-06
0,75;1,454751E-06
0,8;1,511965E-06
0,85;1,568718E-06
0,9;1,624705E-06
0,95;1,680066E-06
1;1,734702E-06
1,05;1,788641E-06
1,1;1,841188E-06
1,15;1,892647E-06
1,2;1,943198E-06
1,25;1,99283E-06
1,3;2,041368E-06
1,35;2,088813E-06
1,4;2,133623E-06
1,45;2,179417E-06
1,5;2,224259E-06
1,55;2,268102E-06
1,6;2,310809E-06
1,65;2,352965E-06
1,7;2,394384E-06
1,75;2,434876E-06
1,8;2,474594E-06
1,85;2,513735E-06
1,9;2,552441E-06
1,95;2,589733E-06
2;2,626764E-06
2,05;2,663267E-06
2,1;2,699122E-06
2,15;2,734089E-06
2,2;2,768807E-06
2,25;2,80276E-06
2,3;2,836004E-06
2,35;2,868408E-06
2,4;2,90035E-06
2,45;2,93179E-06
2,5;2,962443E-06
2,55;2,992312E-06
2,6;3,021377E-06
2,65;3,050005E-06
2,7;3,078384E-06
2,75;3,105714E-06
2,8;3,132716E-06
2,85;3,158931E-06
2,9;3,184698E-06
2,95;3,209902E-06
3;3,234479E-06
3,05;3,25891E-06
3,1;3,282611E-06
3,15;3,305887E-06
3,2;3,328616E-06
3,25;3,350583E-06
3,3;3,372575E-06
3,35;3,39409E-06
3,4;3,415501E-06
3,45;3,435954E-06
3,5;3,45611E-06
3,55;3,475561E-06
3,6;3,495591E-06
3,65;3,515151E-06
3,7;3,534493E-06
3,75;3,553209E-06
3,8;3,571297E-06
3,85;3,589349E-06
3,9;3,606765E-06
3,95;3,624369E-06
4;3,641682E-06
4,05;3,658987E-06
4,1;3,675288E-06
4,15;3,691488E-06
4,2;3,707666E-06
4,25;3,724345E-06
4,3;3,740421E-06
4,35;3,755786E-06
4,4;3,770425E-06
4,45;3,785389E-06
4,5;3,800692E-06
4,55;3,815118E-06
4,6;3,828745E-06
4,65;3,842898E-06
4,7;3,856762E-06
4,75;3,869963E-06
4,8;3,882742E-06
4,85;3,895466E-06
4,9;3,908731E-06
4,95;3,920883E-06
5;3,933369E-06
