Ângulo	R
2,5	16,1
2,6	19,6
2,7	17,6
2,8	19,7
2,9	23,4
3	37,2
3,1	55,3
3,2	96,1
3,3	141,6
3,4	179,7
3,5	200,5
3,6	219,7
3,7	230,4
3,8	239
3,9	235,7
4	223,2
4,1	215,2
4,2	209,8
4,3	206,6
4,4	196,1
4,5	185,1
4,6	178
4,7	170,9
4,8	158
4,9	156,6
5	143,7
5,1	136,3
5,2	133,5
5,3	153,1
5,4	183,6
5,5	188,5
5,6	176,9
5,7	132,3
5,8	106,7
5,9	117,9
6	164
6,1	230,1
6,2	279,3
6,3	246,4
6,4	140,6
6,5	97,7
6,6	93
6,7	90,2
6,8	91,1
6,9	103,4
7	98,1
7,1	101,3
7,2	102,7
7,3	97,9
7,4	97,5
7,5	101,6
7,6	97,8
7,7	98,6
7,8	93,4
7,9	92,5
8	95,7
8,1	97,3
8,2	94,8
8,3	93,8
8,4	89,7
8,5	90,7
8,6	85,3
8,7	82,4
8,8	78,9
8,9	86,7
9	77,9
9,1	75,7
9,2	76,1
9,3	73,7
9,4	71,8
9,5	72,2
9,6	73,8
9,7	71,2
9,8	70,3
9,9	68,3
10	78,3
10,1	75,1
10,2	71,5
10,3	68,9
10,4	69,3
10,5	75,2
10,6	77,3
10,7	74,6
10,8	81,3
10,9	81,8
11	89,2
11,1	91,8
11,2	84,9
11,3	80,1
11,4	70,6
11,5	70,6
11,6	71,9
11,7	69,4
11,8	68,9
11,9	64,7
12	67,5
