Ângulo	R
2,5	7,1
2,6	7,1
2,7	7,8
2,8	8,3
2,9	8,3
3	9,8
3,1	13,1
3,2	20,4
3,3	24,5
3,4	24,4
3,5	26
3,6	26,7
3,7	23,3
3,8	20,3
3,9	18,6
4	16,2
4,1	13,1
4,2	12,4
4,3	12,2
4,4	11,4
4,5	11,1
4,6	8,9
4,7	13,4
4,8	11,5
4,9	9,5
5	12,3
5,1	12,7
5,2	16,2
5,3	32,7
5,4	49,6
5,5	76,3
5,6	73,3
5,7	44,5
5,8	38,8
5,9	38,5
6	57,6
6,1	77,9
6,2	87
6,3	71,6
6,4	42,6
6,5	24,3
6,6	22,4
6,7	22,9
6,8	18,4
6,9	21,9
7	17,7
7,1	17
7,2	17,1
7,3	17,5
7,4	17
7,5	18,8
7,6	18,2
7,7	15,5
7,8	16,5
7,9	17,8
8	15,6
8,1	18,1
8,2	14,9
8,3	15,1
8,4	13,3
8,5	15,2
8,6	15,3
8,7	16,1
8,8	16,7
8,9	15,8
9	16,1
9,1	16,8
9,2	13,7
9,3	14,8
9,4	14,8
9,5	15,2
9,6	16,4
9,7	15,2
9,8	13,2
9,9	18,5
10	17,3
10,1	17,8
10,2	17,2
10,3	19
10,4	16,6
10,5	14,8
10,6	20,1
10,7	17
10,8	19
10,9	25
11	27,1
11,1	29,2
11,2	28,3
11,3	26,5
11,4	23,1
11,5	23
11,6	19,3
11,7	18,3
11,8	18,4
11,9	18,2
12	19,5
