Ângulo	R
2,5	34,5
2,6	34,5
2,7	37,7
2,8	38,9
2,9	46,2
3	61,8
3,1	96,6
3,2	153
3,3	204,1
3,4	254,9
3,5	272,7
3,6	295
3,7	318
3,8	316,7
3,9	305,2
4	300,6
4,1	296,1
4,2	295,7
4,3	278,2
4,4	279,3
4,5	269,9
4,6	271,5
4,7	251,4
4,8	238,2
4,9	240,1
5	219,8
5,1	222,8
5,2	216,8
5,3	231,3
5,4	291
5,5	334,9
5,6	314,2
5,7	229
5,8	191,2
5,9	214,7
6	309,2
6,1	454,8
6,2	556,8
6,3	493,8
6,4	288,2
6,5	181,8
6,6	164,6
6,7	158,7
6,8	169,9
6,9	172,8
7	166,1
7,1	166,4
7,2	164
7,3	160,1
7,4	168,7
7,5	157,8
7,6	156,9
7,7	156,4
7,8	156,4
7,9	155,5
8	164,7
8,1	172,6
8,2	170,3
8,3	165,7
8,4	162,7
8,5	165
8,6	155,3
8,7	152,8
8,8	153,2
8,9	147,2
9	135,6
9,1	140,2
9,2	131,6
9,3	129,1
9,4	124,6
9,5	121,1
9,6	128,4
9,7	115,7
9,8	119,8
9,9	115,6
10	116,1
10,1	114,4
10,2	111,4
10,3	119,2
10,4	106,2
10,5	106,7
10,6	109,9
10,7	114,9
10,8	123,9
10,9	122,7
11	136
11,1	138,3
11,2	138,9
11,3	122,3
11,4	113
11,5	102,5
11,6	109,4
11,7	107,3
11,8	106,1
11,9	104,4
12	103,2
