Ângulo	R
2,5	22,2
2,6	20
2,7	21,1
2,8	21,6
2,9	25,9
3	31,7
3,1	51,1
3,2	75,3
3,3	104
3,4	108
3,5	132,7
3,6	133,5
3,7	127,7
3,8	126,2
3,9	116,9
4	109,6
4,1	107,4
4,2	96,7
4,3	85,6
4,4	80,6
4,5	81,5
4,6	69
4,7	65,8
4,8	60,1
4,9	57,4
5	48,7
5,1	53,2
5,2	45,3
5,3	51,4
5,4	47,3
5,5	54,7
5,6	57
5,7	46,2
5,8	53,2
5,9	77,6
6	148,8
6,1	269,5
6,2	308,2
6,3	288,9
6,4	159,8
6,5	94,3
6,6	87,6
6,7	80,7
6,8	86,8
6,9	77,3
7	78,7
7,1	83,8
7,2	82,3
7,3	78,7
7,4	79,7
7,5	75,3
7,6	72,2
7,7	66,9
7,8	66,8
7,9	62,8
8	67,7
8,1	72,3
8,2	70,6
8,3	70,1
8,4	70,5
8,5	64,9
8,6	67,6
8,7	59,5
8,8	62,8
8,9	60,5
9	58,9
9,1	61,2
9,2	54,9
9,3	57,6
9,4	58,2
9,5	56,6
9,6	59,6
9,7	60,2
9,8	56,7
9,9	59,1
10	61,6
10,1	53,4
10,2	57,4
10,3	58,1
10,4	55,3
10,5	58,6
10,6	56,6
10,7	58,5
10,8	60,6
10,9	60,9
11	61,4
11,1	60,5
11,2	57,9
11,3	58,8
11,4	54,9
11,5	52,6
11,6	55,3
11,7	55,5
11,8	52
11,9	50,2
12	49,6
