Ângulo	R
2,5	5,4
2,6	4,9
2,7	5,6
2,8	4,8
2,9	4,2
3	5,7
3,1	7,5
3,2	6,9
3,3	11,5
3,4	22,7
3,5	59,7
3,6	156,2
3,7	286,9
3,8	402,5
3,9	501,4
4	573,1
4,1	610,7
4,2	637
4,3	671
4,4	687
4,5	689
4,6	694,5
4,7	677
4,8	683,9
4,9	655,4
5	624,7
5,1	607,4
5,2	568,2
5,3	559,6
5,4	519,3
5,5	495,9
5,6	479,6
5,7	446,2
5,8	415,9
5,9	395,4
6	366,9
6,1	358,1
6,2	397,2
6,3	525,1
6,4	634,2
6,5	658,9
6,6	443,5
6,7	269,3
6,8	240,3
6,9	236,7
7	345,8
7,1	699,9
7,2	1011,8
7,3	1057,4
7,4	679,6
7,5	245,5
7,6	173,4
7,7	164,2
7,8	173,2
7,9	158,2
8	159,8
8,1	155,7
8,2	153,9
8,3	148,9
8,4	148,6
8,5	143,5
8,6	147,4
8,7	139,7
8,8	135,6
8,9	130,9
9	129,9
9,1	130,9
9,2	126
9,3	123,7
9,4	119,7
9,5	114,6
9,6	116,1
9,7	110,1
9,8	108,7
9,9	110,7
10	109,7
10,1	102,9
10,2	104,5
10,3	98,2
10,4	97,9
10,5	92,3
10,6	88,5
10,7	93,2
10,8	87
10,9	86,6
11	78,3
11,1	81
11,2	78,9
11,3	74,8
11,4	76,5
11,5	78,9
11,6	74,9
11,7	74,7
11,8	78,7
11,9	76
12	71,7
