Ângulo	R
2,5	5,1
2,6	4,8
2,7	4
2,8	3,4
2,9	4,1
3	4,3
3,1	4,9
3,2	3,3
3,3	6,8
3,4	7,7
3,5	12,3
3,6	28,9
3,7	46,2
3,8	56,1
3,9	59,8
4	65,6
4,1	60,2
4,2	55,3
4,3	46,4
4,4	44
4,5	36,6
4,6	30,2
4,7	25,5
4,8	20,4
4,9	17,6
5	14,2
5,1	14,3
5,2	13
5,3	9,3
5,4	7,6
5,5	7,3
5,6	6,8
5,7	5,1
5,8	6,4
5,9	5,7
6	5,7
6,1	18,8
6,2	58
6,3	158,3
6,4	264,1
6,5	307,9
6,6	209,8
6,7	108,3
6,8	95,4
6,9	87,8
7	123,1
7,1	243,4
7,2	359,3
7,3	394,5
7,4	242,8
7,5	73
7,6	47,7
7,7	40,4
7,8	39,4
7,9	34,1
8	31,7
8,1	30,1
8,2	27
8,3	23,2
8,4	19,2
8,5	23,1
8,6	19,9
8,7	18,9
8,8	18,3
8,9	16,2
9	16,9
9,1	14,2
9,2	12,2
9,3	13,5
9,4	12,6
9,5	10,7
9,6	11,6
9,7	13,2
9,8	11,3
9,9	10,9
10	10
10,1	9,7
10,2	11,3
10,3	12,4
10,4	9,5
10,5	11,9
10,6	9,6
10,7	10,4
10,8	10,8
10,9	8,9
11	11,9
11,1	10
11,2	8,4
11,3	9,6
11,4	9,5
11,5	9,5
11,6	8,8
11,7	9,6
11,8	10,1
11,9	9,9
12	9,4
