Ângulo	R
2,5	12,6
2,6	12,9
2,7	12
2,8	13,1
2,9	14,1
3	12,6
3,1	13,2
3,2	13,5
3,3	16,3
3,4	31,1
3,5	75,5
3,6	143,4
3,7	237
3,8	313,4
3,9	345,1
4	382,8
4,1	406,5
4,2	394,4
4,3	390,3
4,4	385,8
4,5	369,8
4,6	354,5
4,7	329,6
4,8	313,6
4,9	292,2
5	262,1
5,1	235,4
5,2	221,7
5,3	202,3
5,4	173,5
5,5	159
5,6	143,5
5,7	128,3
5,8	115,2
5,9	104
6	92,5
6,1	82,2
6,2	82,1
6,3	100,8
6,4	119,3
6,5	114,9
6,6	77
6,7	47,6
6,8	47,8
6,9	83,7
7	268,3
7,1	790,6
7,2	1207,1
7,3	1315
7,4	941,8
7,5	338,8
7,6	212,3
7,7	201,1
7,8	190,9
7,9	188,1
8	173,7
8,1	166,7
8,2	153,5
8,3	149,9
8,4	144,5
8,5	137,4
8,6	137,8
8,7	131,1
8,8	116,2
8,9	115,2
9	114,1
9,1	109,3
9,2	100
9,3	93,8
9,4	89,7
9,5	86,6
9,6	84,5
9,7	80,8
9,8	71,8
9,9	72,9
10	67,6
10,1	74,3
10,2	67,8
10,3	61,5
10,4	60,3
10,5	59,1
10,6	56,4
10,7	56,9
10,8	55,2
10,9	54,5
11	56,7
11,1	51,5
11,2	50,5
11,3	53,8
11,4	50,2
11,5	48,9
11,6	51,5
11,7	52,5
11,8	44,8
11,9	48,1
12	46,5
