Ângulo	R
2,5	20
2,6	20
2,7	23
2,8	17,3
2,9	21
3	27,3
3,1	28,3
3,2	30
3,3	36,3
3,4	54,3
3,5	85
3,6	133,3
3,7	159
3,8	180
3,9	198,7
4	205,3
4,1	198,7
4,2	213,7
4,3	214,7
4,4	218,7
4,5	206
4,6	204,7
4,7	204
4,8	202,3
4,9	190,3
5	189
5,1	187
5,2	190,3
5,3	202,3
5,4	242,7
5,5	258,3
5,6	222,7
5,7	162,7
5,8	156
5,9	191,7
6	277,3
6,1	371
6,2	409,3
6,3	340
6,4	185
6,5	116,7
6,6	105,3
6,7	104
6,8	99,3
6,9	93
7	89,3
7,1	94,3
7,2	109,7
7,3	112,3
7,4	98,3
7,5	104
7,6	99,3
7,7	94,7
7,8	96,7
7,9	101
8	111,7
8,1	129,7
8,2	136,7
8,3	128,7
8,4	126,7
8,5	122,7
8,6	109,3
8,7	106
8,8	107
8,9	103,7
9	98,3
9,1	99
9,2	100
9,3	84
9,4	86,3
9,5	86
9,6	82,3
9,7	75,3
9,8	84,7
9,9	80,7
10	71,7
10,1	76
10,2	69,3
10,3	76,3
10,4	72
10,5	71,7
10,6	71
10,7	78,7
10,8	80
10,9	88,7
11	99
11,1	85,7
11,2	90
11,3	74,7
11,4	67,3
11,5	74,3
11,6	75
11,7	66,7
11,8	76,3
11,9	65
12	72,7
