Ângulo	R
2,5	4
2,6	4
2,7	3,3
2,8	6,7
2,9	5
3	5
3,1	4,7
3,2	5,3
3,3	6
3,4	2
3,5	5
3,6	5,7
3,7	7
3,8	5,7
3,9	10
4	22,7
4,1	70,3
4,2	160,3
4,3	262
4,4	342,7
4,5	404,3
4,6	441,7
4,7	490
4,8	505
4,9	500,7
5	526,7
5,1	536
5,2	523
5,3	536
5,4	493,7
5,5	534,3
5,6	500,7
5,7	468,7
5,8	452
5,9	460,3
6	414,7
6,1	398
6,2	400,3
6,3	449,7
6,4	553
6,5	695
6,6	701
6,7	473,7
6,8	327,3
6,9	302
7	316,7
7,1	410
7,2	745,3
7,3	1114,3
7,4	1262,7
7,5	742,3
7,6	263
7,7	198
7,8	181
7,9	174,3
8	163,7
8,1	153,7
8,2	152,7
8,3	156
8,4	158,7
8,5	161,3
8,6	154,7
8,7	155
8,8	151
8,9	144,7
9	144,3
9,1	141
9,2	128
9,3	130
9,4	122
9,5	118,3
9,6	112,7
9,7	104
9,8	94,3
9,9	97
10	104,3
10,1	105,7
10,2	98,3
10,3	99,7
10,4	87,7
10,5	95,7
10,6	81,7
10,7	88
10,8	83
10,9	81,7
11	77
11,1	70,3
11,2	80
11,3	78,3
11,4	68,3
11,5	72,3
11,6	65,7
11,7	67,3
11,8	58
11,9	58
12	58,7
