Angle	Voltage	sV
0.0859	1.52	0.1
0.1717	1.81	0.1
0.2578	2.11	0.1
0.3437	2.38	0.1
0.4295	2.64	0.1
0.5154	2.92	0.1
0.6013	3.18	0.1
0.6873	3.29	0.1
0.7732	3.44	0.1
0.8591	3.57	0.1
0.9449	3.62	0.1
1.0308	3.67	0.1
1.1167	3.64	0.1
1.2027	3.6	0.1
1.2886	3.52	0.1
1.3744	3.37	0.1
1.4603	3.19	0.1
1.5462	3	0.1
1.6322	2.78	0.1
1.7181	2.45	0.1
1.804	2.15	0.1
1.8898	1.84	0.1
1.9757	1.51	0.1
2.0616	1.24	0.1
2.1476	0.99	0.1
2.2335	0.75	0.1
2.3194	0.55	0.1
2.4052	0.41	0.1
2.4911	0.31	0.1
2.5772	0.28	0.1
2.663	0.3	0.1
2.7489	0.37	0.1
2.8348	0.49	0.1
2.9206	0.66	0.1
3.0067	0.88	0.1
3.0925	1.16	0.1
3.1784	1.4	0.1
