Angulo (rad)	Voltagem (V)	sig volt (V)
0	1.01	0.1
0.0859	1.13	0.1
0.1717	1.3	0.1
0.2578	1.47	0.1
0.3437	1.64	0.1
0.4295	1.8	0.1
0.5154	1.96	0.1
0.6013	2.09	0.1
0.6873	2.26	0.1
0.7732	2.38	0.1
0.8591	2.49	0.1
0.9449	2.58	0.1
1.0308	2.68	0.1
1.1167	2.71	0.1
1.2027	2.77	0.1
1.2886	2.74	0.1
1.3744	2.71	0.1
1.4603	2.66	0.1
1.5462	2.58	0.1
1.6322	2.48	0.1
1.7181	2.33	0.1
1.804	2.2	0.1
1.8898	2.03	0.1
1.9757	1.81	0.1
2.0616	1.65	0.1
2.1476	1.46	0.1
2.2335	1.26	0.1
2.3194	1.1	0.1
2.4052	0.96	0.1
2.4911	0.84	0.1
2.5772	0.75	0.1
2.663	0.71	0.1
2.7489	0.7	0.1
2.8348	0.71	0.1
2.9206	0.76	0.1
3.0067	0.86	0.1
3.0925	0.95	0.1
3.1784	1.08	0.1
